,id,latitude,longitude,bike_scores,walk_scores,property_page_links,transit_scores
0,177,39.69551,-104.92489,84,51,https://www.walkscore.com/score/loc/lat=39.69551/lng=-104.92489/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
1,360,39.76758,-105.00316,93,90,https://www.walkscore.com/score/loc/lat=39.76758/lng=-105.00316/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
2,2361919,39.7796,-105.03859,76,81,https://www.walkscore.com/score/loc/lat=39.7796/lng=-105.03859/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,34.0
3,2386289,39.76777,-105.03529,75,86,https://www.walkscore.com/score/loc/lat=39.76777/lng=-105.03529/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
4,4992412,39.76822,-105.00249,93,90,https://www.walkscore.com/score/loc/lat=39.76822/lng=-105.00249/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
5,364,39.76672,-104.97906,98,92,https://www.walkscore.com/score/loc/lat=39.76672/lng=-104.97906/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
6,2441900,39.74296,-104.96941,91,95,https://www.walkscore.com/score/loc/lat=39.74296/lng=-104.96941/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,55.0
7,590,39.75511,-104.91109,85,59,https://www.walkscore.com/score/loc/lat=39.75511/lng=-104.91109/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
8,2466830,39.69062,-104.9548,74,38,https://www.walkscore.com/score/loc/lat=39.69062/lng=-104.9548/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,47.0
9,5010213,39.75351,-105.0037,90,92,https://www.walkscore.com/score/loc/lat=39.75351/lng=-105.0037/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,88.0
10,592,39.75481,-104.91106,85,59,https://www.walkscore.com/score/loc/lat=39.75481/lng=-104.91106/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,43.0
11,5070640,39.76284,-105.03391,81,91,https://www.walkscore.com/score/loc/lat=39.76284/lng=-105.03391/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
12,2467260,39.74241,-104.95097,85,83,https://www.walkscore.com/score/loc/lat=39.74241/lng=-104.95097/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
13,1940,39.72048568725586,-104.99752044677734,79,86,https://www.walkscore.com/score/loc/lat=39.72048568725586/lng=-104.99752044677734/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
14,2487185,39.7038,-105.0116,57,52,https://www.walkscore.com/score/loc/lat=39.7038/lng=-105.0116/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,40.0
15,5141965,39.75888,-104.96588,93,84,https://www.walkscore.com/score/loc/lat=39.75888/lng=-104.96588/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
16,5164075,39.75543,-104.98131,99,96,https://www.walkscore.com/score/loc/lat=39.75543/lng=-104.98131/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,62.0
17,2525011,39.71541,-104.98898,93,93,https://www.walkscore.com/score/loc/lat=39.71541/lng=-104.98898/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,63.0
18,21745,39.7449,-104.97711,97,95,https://www.walkscore.com/score/loc/lat=39.7449/lng=-104.97711/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,73.0
19,2599115,39.75778,-104.85861,45,44,https://www.walkscore.com/score/loc/lat=39.75778/lng=-104.85861/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,41.0
20,5184333,39.73579,-104.98047,98,94,https://www.walkscore.com/score/loc/lat=39.73579/lng=-104.98047/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,72.0
21,31503,39.76179,-105.02845,83,94,https://www.walkscore.com/score/loc/lat=39.76179/lng=-105.02845/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,42.0
22,5302550,39.7319,-104.9528,93,62,https://www.walkscore.com/score/loc/lat=39.7319/lng=-104.9528/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,37.0
23,5334219,39.76249,-105.01657,90,96,https://www.walkscore.com/score/loc/lat=39.76249/lng=-105.01657/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
24,2817786,39.74687,-104.97561,96,94,https://www.walkscore.com/score/loc/lat=39.74687/lng=-104.97561/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,70.0
25,39405,39.76605,-105.00526,90,90,https://www.walkscore.com/score/loc/lat=39.76605/lng=-105.00526/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,47.0
26,2827887,39.7682,-105.00232,93,90,https://www.walkscore.com/score/loc/lat=39.7682/lng=-105.00232/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,49.0
27,5343759,39.73688,-104.94289,82,84,https://www.walkscore.com/score/loc/lat=39.73688/lng=-104.94289/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,54.0
28,90307,39.7495,-104.93362,92,62,https://www.walkscore.com/score/loc/lat=39.7495/lng=-104.93362/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,45.0
29,5364164,39.69713,-104.92667,81,31,https://www.walkscore.com/score/loc/lat=39.69713/lng=-104.92667/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,38.0
30,5379218,39.64721,-104.8867,63,46,https://www.walkscore.com/score/loc/lat=39.64721/lng=-104.8867/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
31,2875696,39.70705,-104.8916,55,25,https://www.walkscore.com/score/loc/lat=39.70705/lng=-104.8916/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,36.0
32,154999,39.74439,-104.98927,95,98,https://www.walkscore.com/score/loc/lat=39.74439/lng=-104.98927/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,84.0
33,2908978,39.73396,-104.94702,93,68,https://www.walkscore.com/score/loc/lat=39.73396/lng=-104.94702/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
34,2942068,39.76794,-105.00146,95,88,https://www.walkscore.com/score/loc/lat=39.76794/lng=-105.00146/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
35,2957097,39.70304,-105.01177,57,52,https://www.walkscore.com/score/loc/lat=39.70304/lng=-105.01177/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,40.0
36,5414477,39.73679,-104.97994,98,94,https://www.walkscore.com/score/loc/lat=39.73679/lng=-104.97994/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,72.0
37,192430,39.7435,-104.93753,82,48,https://www.walkscore.com/score/loc/lat=39.7435/lng=-104.93753/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
38,5508545,39.73839,-104.91961,76,85,https://www.walkscore.com/score/loc/lat=39.73839/lng=-104.91961/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,50.0
39,5508840,39.75357,-104.88433,70,71,https://www.walkscore.com/score/loc/lat=39.75357/lng=-104.88433/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
40,5531293,39.78164,-105.038,75,63,https://www.walkscore.com/score/loc/lat=39.78164/lng=-105.038/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,36.0
41,2960513,39.72287,-104.995,84,89,https://www.walkscore.com/score/loc/lat=39.72287/lng=-104.995/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,52.0
42,217996,39.75895,-105.01036,84,96,https://www.walkscore.com/score/loc/lat=39.75895/lng=-105.01036/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,74.0
43,2975710,39.75936,-105.04792,73,71,https://www.walkscore.com/score/loc/lat=39.75936/lng=-105.04792/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,35.0
44,5558992,39.72979,-104.99557,99,94,https://www.walkscore.com/score/loc/lat=39.72979/lng=-104.99557/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,62.0
45,283162,39.7515,-104.99473,94,97,https://www.walkscore.com/score/loc/lat=39.7515/lng=-104.99473/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,90.0
46,5717755,39.75182,-105.02219,74,88,https://www.walkscore.com/score/loc/lat=39.75182/lng=-105.02219/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,53.0
47,364585,39.69845,-104.98073,85,74,https://www.walkscore.com/score/loc/lat=39.69845/lng=-104.98073/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,61.0
48,5746214,39.7483,-104.91471,81,62,https://www.walkscore.com/score/loc/lat=39.7483/lng=-104.91471/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,46.0
49,2998222,39.78271,-104.74694,51,16,https://www.walkscore.com/score/loc/lat=39.78271/lng=-104.74694/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,36.0
50,370209,39.7172,-104.99767,84,79,https://www.walkscore.com/score/loc/lat=39.7172/lng=-104.99767/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,58.0
51,3094167,39.76169,-105.03382,80,91,https://www.walkscore.com/score/loc/lat=39.76169/lng=-105.03382/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,39.0
52,5794938,39.74326,-104.98088,97,96,https://www.walkscore.com/score/loc/lat=39.74326/lng=-104.98088/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,79.0
53,477016,39.74348,-104.97089,97,92,https://www.walkscore.com/score/loc/lat=39.74348/lng=-104.97089/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,56.0
54,5839828,39.71636,-104.97885,98,87,https://www.walkscore.com/score/loc/lat=39.71636/lng=-104.97885/?utm_source=carlhorwitz.github.io&utm_medium=ws_api&utm_campaign=ws_api,51.0
